my,opp,n,wins,wr,ci_lo,ci_hi
Archaludon ex,Ethan's Typhlosion,8,2,25.0,7.1,59.1
Mega Lucario ex,Sylveon,8,2,25.0,7.1,59.1
Sylveon,Mega Lucario ex,8,6,75.0,40.9,92.9
Mega Abomasnow ex,Hydrapple ex,8,1,12.5,2.2,47.1
Hydrapple ex,Mega Abomasnow ex,8,7,87.5,52.9,97.8
Seaking,Seaking,8,4,50.0,21.5,78.5
Teal Mask Ogerpon ex,Seaking,8,1,12.5,2.2,47.1
Seaking,Teal Mask Ogerpon ex,8,7,87.5,52.9,97.8
Alakazam,Hydreigon ex,8,4,50.0,21.5,78.5
Hydreigon ex,Alakazam,8,4,50.0,21.5,78.5
Hop’s Snorlax,Hydrapple ex,8,4,50.0,21.5,78.5
Hydrapple ex,Hop’s Snorlax,8,4,50.0,21.5,78.5
Raging Bolt ex,Mega Starmie ex,8,6,75.0,40.9,92.9
Mega Starmie ex,Raging Bolt ex,8,2,25.0,7.1,59.1
Archaludon ex,Sylveon,8,1,12.5,2.2,47.1
Sylveon,Archaludon ex,8,7,87.5,52.9,97.8
Munkidori,Cornerstone Mask Ogerpon ex,8,4,50.0,21.5,78.5
Cornerstone Mask Ogerpon ex,Munkidori,8,4,50.0,21.5,78.5
Munkidori,Mega Lucario ex,8,6,75.0,40.9,92.9
Mega Lucario ex,Munkidori,8,2,25.0,7.1,59.1
Hydrapple ex,Okidogi,8,1,12.5,2.2,47.1
Okidogi,Hydrapple ex,8,7,87.5,52.9,97.8
Mega Abomasnow ex,Tapu Koko ex,7,5,71.4,35.9,91.8
Tapu Koko ex,Mega Abomasnow ex,7,2,28.6,8.2,64.1
Centiskorch,Ethan's Typhlosion,7,5,71.4,35.9,91.8
Ethan's Typhlosion,Centiskorch,7,2,28.6,8.2,64.1
Mega Abomasnow ex,Thwackey,7,3,42.9,15.8,75.0
Thwackey,Mega Abomasnow ex,7,4,57.1,25.0,84.2
Mega Zygarde ex,Mega Lucario ex,7,2,28.6,8.2,64.1
Mega Lucario ex,Mega Zygarde ex,7,5,71.4,35.9,91.8
Crustle,Raging Bolt ex,7,7,100.0,64.6,100.0
Raging Bolt ex,Crustle,7,0,0.0,0.0,35.4
Crustle,Mega Mawile ex,7,7,100.0,64.6,100.0
Mega Mawile ex,Crustle,7,0,0.0,0.0,35.4
Mega Abomasnow ex,Centiskorch,7,5,71.4,35.9,91.8
Centiskorch,Mega Abomasnow ex,7,2,28.6,8.2,64.1
Team Rocket's Honchkrow,Okidogi,7,1,14.3,2.6,51.3
Okidogi,Team Rocket's Honchkrow,7,6,85.7,48.7,97.4
Dragapult ex,Pikachu ex,7,6,85.7,48.7,97.4
Pikachu ex,Dragapult ex,7,1,14.3,2.6,51.3
Team Rocket's Mewtwo ex,Team Rocket's Honchkrow,7,3,42.9,15.8,75.0
Team Rocket's Honchkrow,Team Rocket's Mewtwo ex,7,4,57.1,25.0,84.2
Thwackey,Chandelure,7,3,42.9,15.8,75.0
Chandelure,Thwackey,7,4,57.1,25.0,84.2
Mega Zygarde ex,Mega Starmie ex,7,2,28.6,8.2,64.1
Mega Starmie ex,Mega Zygarde ex,7,5,71.4,35.9,91.8
Lillie’s Clefairy ex,Mega Starmie ex,7,2,28.6,8.2,64.1
Mega Starmie ex,Lillie’s Clefairy ex,7,5,71.4,35.9,91.8
Mega Gardevoir ex,Teal Mask Ogerpon ex,7,6,85.7,48.7,97.4
Teal Mask Ogerpon ex,Mega Gardevoir ex,7,1,14.3,2.6,51.3
Hop’s Snorlax,Latias ex,7,2,28.6,8.2,64.1
Latias ex,Hop’s Snorlax,7,5,71.4,35.9,91.8
Hop's Trevenant,Crustle,7,6,85.7,48.7,97.4
Crustle,Hop's Trevenant,7,1,14.3,2.6,51.3
Hop's Trevenant,Thwackey,7,3,42.9,15.8,75.0
Thwackey,Hop's Trevenant,7,4,57.1,25.0,84.2
Archaludon ex,Mega Diancie ex,7,7,100.0,64.6,100.0
Mega Diancie ex,Archaludon ex,7,0,0.0,0.0,35.4
Marnie's Grimmsnarl ex,Shaymin,7,5,71.4,35.9,91.8
Shaymin,Marnie's Grimmsnarl ex,7,2,28.6,8.2,64.1
Dragapult ex,Munkidori,7,4,57.1,25.0,84.2
Munkidori,Dragapult ex,7,3,42.9,15.8,75.0
Brambleghast,Mega Lopunny ex,7,5,71.4,35.9,91.8
Mega Lopunny ex,Brambleghast,7,2,28.6,8.2,64.1
Mega Starmie ex,N’s Zoroark ex,7,3,42.9,15.8,75.0
N’s Zoroark ex,Mega Starmie ex,7,4,57.1,25.0,84.2
Cinderace,Alakazam,7,2,28.6,8.2,64.1
Alakazam,Cinderace,7,5,71.4,35.9,91.8
N’s Zoroark ex,Thwackey,7,4,57.1,25.0,84.2
Thwackey,N’s Zoroark ex,7,3,42.9,15.8,75.0
Hydrapple ex,Team Rocket's Mewtwo ex,7,5,71.4,35.9,91.8
Team Rocket's Mewtwo ex,Hydrapple ex,7,2,28.6,8.2,64.1
Team Rocket's Mewtwo ex,Arboliva ex,7,1,14.3,2.6,51.3
Arboliva ex,Team Rocket's Mewtwo ex,7,6,85.7,48.7,97.4
Raging Bolt ex,Mega Abomasnow ex,6,1,16.7,3.0,56.4
Mega Abomasnow ex,Raging Bolt ex,6,5,83.3,43.6,97.0
Dusknoir,Mega Abomasnow ex,6,3,50.0,18.8,81.2
Mega Abomasnow ex,Dusknoir,6,3,50.0,18.8,81.2
Mega Lucario ex,Okidogi ex,6,5,83.3,43.6,97.0
Okidogi ex,Mega Lucario ex,6,1,16.7,3.0,56.4
Seaking,Mega Abomasnow ex,6,4,66.7,30.0,90.3
Mega Abomasnow ex,Seaking,6,2,33.3,9.7,70.0
Okidogi,Mega Abomasnow ex,6,5,83.3,43.6,97.0
Mega Abomasnow ex,Okidogi,6,1,16.7,3.0,56.4
Seaking,Chandelure,6,4,66.7,30.0,90.3
Chandelure,Seaking,6,2,33.3,9.7,70.0
Hop’s Snorlax,Mega Zygarde ex,6,0,0.0,0.0,39.0
Mega Zygarde ex,Hop’s Snorlax,6,6,100.0,61.0,100.0
Dragapult ex,Mega Sharpedo ex,6,4,66.7,30.0,90.3
Mega Sharpedo ex,Dragapult ex,6,2,33.3,9.7,70.0
Hop's Trevenant,Chandelure,6,3,50.0,18.8,81.2
Chandelure,Hop's Trevenant,6,3,50.0,18.8,81.2
Walrein,Hop's Trevenant,6,4,66.7,30.0,90.3
Hop's Trevenant,Walrein,6,2,33.3,9.7,70.0
Alakazam,Shaymin,6,4,66.7,30.0,90.3
Shaymin,Alakazam,6,2,33.3,9.7,70.0
N’s Zoroark ex,Okidogi,6,2,33.3,9.7,70.0
Okidogi,N’s Zoroark ex,6,4,66.7,30.0,90.3
Brambleghast,Brambleghast,6,3,50.0,18.8,81.2
Team Rocket's Mewtwo ex,Mega Sharpedo ex,6,6,100.0,61.0,100.0
Mega Sharpedo ex,Team Rocket's Mewtwo ex,6,0,0.0,0.0,39.0
Teal Mask Ogerpon ex,N’s Zoroark ex,6,4,66.7,30.0,90.3
N’s Zoroark ex,Teal Mask Ogerpon ex,6,2,33.3,9.7,70.0
Empoleon ex,Marnie's Grimmsnarl ex,6,1,16.7,3.0,56.4
Marnie's Grimmsnarl ex,Empoleon ex,6,5,83.3,43.6,97.0
Mega Lucario ex,Mega Camerupt ex,5,5,100.0,56.6,100.0
Mega Camerupt ex,Mega Lucario ex,5,0,0.0,0.0,43.4
Mega Lucario ex,XerneasEX,5,4,80.0,37.6,96.4
XerneasEX,Mega Lucario ex,5,1,20.0,3.6,62.4
Mega Camerupt ex,Dragapult ex,5,1,20.0,3.6,62.4
Dragapult ex,Mega Camerupt ex,5,4,80.0,37.6,96.4
Iron Leaves ex,Mega Abomasnow ex,5,4,80.0,37.6,96.4
Mega Abomasnow ex,Iron Leaves ex,5,1,20.0,3.6,62.4
Fezandipiti ex,Iono’s Bellibolt ex,5,0,0.0,0.0,43.4
Iono’s Bellibolt ex,Fezandipiti ex,5,5,100.0,56.6,100.0
Mega Zygarde ex,Dragapult ex,5,3,60.0,23.1,88.2
Dragapult ex,Mega Zygarde ex,5,2,40.0,11.8,76.9
Dragapult ex,Sylveon,5,3,60.0,23.1,88.2
Sylveon,Dragapult ex,5,2,40.0,11.8,76.9
Mega Abomasnow ex,Team Rocket's Mewtwo ex,5,2,40.0,11.8,76.9
Team Rocket's Mewtwo ex,Mega Abomasnow ex,5,3,60.0,23.1,88.2
Seaking,Team Rocket's Honchkrow,5,4,80.0,37.6,96.4
Team Rocket's Honchkrow,Seaking,5,1,20.0,3.6,62.4
Blissey ex,Mega Abomasnow ex,5,0,0.0,0.0,43.4
Mega Abomasnow ex,Blissey ex,5,5,100.0,56.6,100.0
Ethan's Typhlosion,Fezandipiti ex,5,2,40.0,11.8,76.9
Fezandipiti ex,Ethan's Typhlosion,5,3,60.0,23.1,88.2
Alakazam,Centiskorch,5,4,80.0,37.6,96.4
Centiskorch,Alakazam,5,1,20.0,3.6,62.4
Mega Lucario ex,Koraidon ex,5,1,20.0,3.6,62.4
Koraidon ex,Mega Lucario ex,5,4,80.0,37.6,96.4
Dragapult ex,Centiskorch,5,5,100.0,56.6,100.0
Centiskorch,Dragapult ex,5,0,0.0,0.0,43.4
Pikachu ex,Iono’s Bellibolt ex,5,2,40.0,11.8,76.9
Iono’s Bellibolt ex,Pikachu ex,5,3,60.0,23.1,88.2
Thwackey,Team Rocket's Honchkrow,5,4,80.0,37.6,96.4
Team Rocket's Honchkrow,Thwackey,5,1,20.0,3.6,62.4
Mega Froslass ex,Crustle,5,3,60.0,23.1,88.2
Crustle,Mega Froslass ex,5,2,40.0,11.8,76.9
Hop’s Snorlax,Cornerstone Mask Ogerpon ex,5,5,100.0,56.6,100.0
Cornerstone Mask Ogerpon ex,Hop’s Snorlax,5,0,0.0,0.0,43.4
Mega Lucario ex,Steven's Metagross ex,5,3,60.0,23.1,88.2
Steven's Metagross ex,Mega Lucario ex,5,2,40.0,11.8,76.9
Alakazam,Lillie’s Clefairy ex,5,5,100.0,56.6,100.0
Lillie’s Clefairy ex,Alakazam,5,0,0.0,0.0,43.4
Mega Starmie ex,Mega Gardevoir ex,5,3,60.0,23.1,88.2
Mega Gardevoir ex,Mega Starmie ex,5,2,40.0,11.8,76.9
Hop's Trevenant,Okidogi,5,1,20.0,3.6,62.4
Okidogi,Hop's Trevenant,5,4,80.0,37.6,96.4
Mega Starmie ex,Team Rocket's Articuno,5,5,100.0,56.6,100.0
Team Rocket's Articuno,Mega Starmie ex,5,0,0.0,0.0,43.4
Hop’s Snorlax,Mega Diancie ex,5,2,40.0,11.8,76.9
Mega Diancie ex,Hop’s Snorlax,5,3,60.0,23.1,88.2
Mega Starmie ex,Sylveon,5,3,60.0,23.1,88.2
Sylveon,Mega Starmie ex,5,2,40.0,11.8,76.9
Sylveon,Marnie's Grimmsnarl ex,5,0,0.0,0.0,43.4
Marnie's Grimmsnarl ex,Sylveon,5,5,100.0,56.6,100.0
Mega Froslass ex,Chandelure,5,2,40.0,11.8,76.9
Chandelure,Mega Froslass ex,5,3,60.0,23.1,88.2
Archaludon ex,Okidogi ex,5,1,20.0,3.6,62.4
Okidogi ex,Archaludon ex,5,4,80.0,37.6,96.4
Archaludon ex,Munkidori,5,3,60.0,23.1,88.2
Munkidori,Archaludon ex,5,2,40.0,11.8,76.9
Cinderace,Team Rocket's Mewtwo ex,5,0,0.0,0.0,43.4
Team Rocket's Mewtwo ex,Cinderace,5,5,100.0,56.6,100.0
Cinderace,Marnie's Grimmsnarl ex,5,2,40.0,11.8,76.9
Marnie's Grimmsnarl ex,Cinderace,5,3,60.0,23.1,88.2
Arboliva ex,Mega Venusaur ex,5,3,60.0,23.1,88.2
Mega Venusaur ex,Arboliva ex,5,2,40.0,11.8,76.9
Hydrapple ex,Arboliva ex,5,4,80.0,37.6,96.4
Arboliva ex,Hydrapple ex,5,1,20.0,3.6,62.4
Mega Heracross ex,Dragapult ex,4,2,50.0,15.0,85.0
Dragapult ex,Mega Heracross ex,4,2,50.0,15.0,85.0
Bouffalant ex,Mega Abomasnow ex,4,2,50.0,15.0,85.0
Mega Abomasnow ex,Bouffalant ex,4,2,50.0,15.0,85.0
Dragapult ex,Mega Mawile ex,4,3,75.0,30.1,95.4
Mega Mawile ex,Dragapult ex,4,1,25.0,4.6,69.9
Yveltal ex,Mega Abomasnow ex,4,1,25.0,4.6,69.9
Mega Abomasnow ex,Yveltal ex,4,3,75.0,30.1,95.4
Mega Abomasnow ex,Decidueye,4,3,75.0,30.1,95.4
Decidueye,Mega Abomasnow ex,4,1,25.0,4.6,69.9
Iono’s Bellibolt ex,Centiskorch,4,4,100.0,51.0,100.0
Centiskorch,Iono’s Bellibolt ex,4,0,0.0,0.0,49.0
Fezandipiti ex,Dragapult ex,4,1,25.0,4.6,69.9
Dragapult ex,Fezandipiti ex,4,3,75.0,30.1,95.4
Dudunsparce ex,Dragapult ex,4,3,75.0,30.1,95.4
Dragapult ex,Dudunsparce ex,4,1,25.0,4.6,69.9
Mega Lucario ex,Blissey ex,4,1,25.0,4.6,69.9
Blissey ex,Mega Lucario ex,4,3,75.0,30.1,95.4
Team Rocket's Honchkrow,Team Rocket's Honchkrow,4,2,50.0,15.0,85.0
Mega Lucario ex,Great Tusk,4,2,50.0,15.0,85.0
Great Tusk,Mega Lucario ex,4,2,50.0,15.0,85.0
Hydrapple ex,Ethan's Typhlosion,4,2,50.0,15.0,85.0
Ethan's Typhlosion,Hydrapple ex,4,2,50.0,15.0,85.0
Mega Abomasnow ex,Marnie's Grimmsnarl ex,4,2,50.0,15.0,85.0
Marnie's Grimmsnarl ex,Mega Abomasnow ex,4,2,50.0,15.0,85.0
Crustle,Blissey ex,4,1,25.0,4.6,69.9
Blissey ex,Crustle,4,3,75.0,30.1,95.4
Mega Venusaur ex,Crustle,4,1,25.0,4.6,69.9
Crustle,Mega Venusaur ex,4,3,75.0,30.1,95.4
Hydreigon ex,Crustle,4,0,0.0,0.0,49.0
Crustle,Hydreigon ex,4,4,100.0,51.0,100.0
Dudunsparce ex,Mega Abomasnow ex,4,2,50.0,15.0,85.0
Mega Abomasnow ex,Dudunsparce ex,4,2,50.0,15.0,85.0
Mega Abomasnow ex,Hydreigon ex,4,1,25.0,4.6,69.9
Hydreigon ex,Mega Abomasnow ex,4,3,75.0,30.1,95.4
Team Rocket's Honchkrow,Pikachu ex,4,2,50.0,15.0,85.0
Pikachu ex,Team Rocket's Honchkrow,4,2,50.0,15.0,85.0
Mega Starmie ex,Latias ex,4,4,100.0,51.0,100.0
Latias ex,Mega Starmie ex,4,0,0.0,0.0,49.0
Mega Abomasnow ex,Mega Froslass ex,4,2,50.0,15.0,85.0
Mega Froslass ex,Mega Abomasnow ex,4,2,50.0,15.0,85.0
Cynthia's Garchomp ex,Team Rocket's Honchkrow,4,3,75.0,30.1,95.4
Team Rocket's Honchkrow,Cynthia's Garchomp ex,4,1,25.0,4.6,69.9
Fezandipiti ex,Thwackey,4,1,25.0,4.6,69.9
Thwackey,Fezandipiti ex,4,3,75.0,30.1,95.4
Chandelure,Iono’s Bellibolt ex,4,2,50.0,15.0,85.0
Iono’s Bellibolt ex,Chandelure,4,2,50.0,15.0,85.0
Pikachu ex,Okidogi,4,1,25.0,4.6,69.9
Okidogi,Pikachu ex,4,3,75.0,30.1,95.4
Greninja ex,Dragapult ex,4,1,25.0,4.6,69.9
Dragapult ex,Greninja ex,4,3,75.0,30.1,95.4
Hop’s Snorlax,Team Rocket's Articuno,4,3,75.0,30.1,95.4
Team Rocket's Articuno,Hop’s Snorlax,4,1,25.0,4.6,69.9
Fezandipiti ex,Marnie's Grimmsnarl ex,4,4,100.0,51.0,100.0
Marnie's Grimmsnarl ex,Fezandipiti ex,4,0,0.0,0.0,49.0
Team Rocket's Articuno,Mega Lucario ex,4,2,50.0,15.0,85.0
Mega Lucario ex,Team Rocket's Articuno,4,2,50.0,15.0,85.0
Mega Kangaskhan ex,Hop's Trevenant,4,4,100.0,51.0,100.0
Hop's Trevenant,Mega Kangaskhan ex,4,0,0.0,0.0,49.0
Lillie’s Clefairy ex,Dragapult ex,4,3,75.0,30.1,95.4
Dragapult ex,Lillie’s Clefairy ex,4,1,25.0,4.6,69.9
Cornerstone Mask Ogerpon ex,Mega Froslass ex,4,4,100.0,51.0,100.0
Mega Froslass ex,Cornerstone Mask Ogerpon ex,4,0,0.0,0.0,49.0
Hop's Trevenant,Marnie's Grimmsnarl ex,4,0,0.0,0.0,49.0
Marnie's Grimmsnarl ex,Hop's Trevenant,4,4,100.0,51.0,100.0
Comfey,Cynthia's Garchomp ex,4,2,50.0,15.0,85.0
Cynthia's Garchomp ex,Comfey,4,2,50.0,15.0,85.0
Comfey,Marnie's Grimmsnarl ex,4,2,50.0,15.0,85.0
Marnie's Grimmsnarl ex,Comfey,4,2,50.0,15.0,85.0
Munkidori,Team Rocket's Mewtwo ex,4,0,0.0,0.0,49.0
Team Rocket's Mewtwo ex,Munkidori,4,4,100.0,51.0,100.0
Munkidori,Brambleghast,4,0,0.0,0.0,49.0
Brambleghast,Munkidori,4,4,100.0,51.0,100.0
Mega Gardevoir ex,Thwackey,4,0,0.0,0.0,49.0
Thwackey,Mega Gardevoir ex,4,4,100.0,51.0,100.0
Mega Sharpedo ex,Cynthia's Garchomp ex,4,0,0.0,0.0,49.0
Cynthia's Garchomp ex,Mega Sharpedo ex,4,4,100.0,51.0,100.0
Mega Kangaskhan ex,Mega Sharpedo ex,4,2,50.0,15.0,85.0
Mega Sharpedo ex,Mega Kangaskhan ex,4,2,50.0,15.0,85.0
Arboliva ex,Arboliva ex,4,2,50.0,15.0,85.0
Okidogi,Mega Venusaur ex,4,4,100.0,51.0,100.0
Mega Venusaur ex,Okidogi,4,0,0.0,0.0,49.0
Alakazam,Empoleon ex,4,0,0.0,0.0,49.0
Empoleon ex,Alakazam,4,4,100.0,51.0,100.0
Seaking,Hydrapple ex,4,3,75.0,30.1,95.4
Hydrapple ex,Seaking,4,1,25.0,4.6,69.9
Dragapult ex,Mega Manectric ex,3,2,66.7,20.8,93.9
Mega Manectric ex,Dragapult ex,3,1,33.3,6.1,79.2
Dragapult ex,Bouffalant ex,3,2,66.7,20.8,93.9
Bouffalant ex,Dragapult ex,3,1,33.3,6.1,79.2
Luxray ex,Mega Abomasnow ex,3,0,0.0,0.0,56.2
Mega Abomasnow ex,Luxray ex,3,3,100.0,43.8,100.0
Dragapult ex,Tapu Koko ex,3,3,100.0,43.8,100.0
Tapu Koko ex,Dragapult ex,3,0,0.0,0.0,56.2
Dragapult ex,Decidueye,3,2,66.7,20.8,93.9
Decidueye,Dragapult ex,3,1,33.3,6.1,79.2
Mega Lucario ex,Bouffalant ex,3,3,100.0,43.8,100.0
Bouffalant ex,Mega Lucario ex,3,0,0.0,0.0,56.2
Dragapult ex,Dusknoir,3,2,66.7,20.8,93.9
Dusknoir,Dragapult ex,3,1,33.3,6.1,79.2
Mega Mawile ex,Mega Kangaskhan ex,3,1,33.3,6.1,79.2
Mega Kangaskhan ex,Mega Mawile ex,3,2,66.7,20.8,93.9
Samurott,Mega Lucario ex,3,0,0.0,0.0,56.2
Mega Lucario ex,Samurott,3,3,100.0,43.8,100.0
Dragapult ex,Hop’s Zacian ex,3,3,100.0,43.8,100.0
Hop’s Zacian ex,Dragapult ex,3,0,0.0,0.0,56.2
Miraidon ex,Crustle,3,0,0.0,0.0,56.2
Crustle,Miraidon ex,3,3,100.0,43.8,100.0
Crustle,Great Tusk,3,2,66.7,20.8,93.9
Great Tusk,Crustle,3,1,33.3,6.1,79.2
Ceruledge ex,Mega Abomasnow ex,3,1,33.3,6.1,79.2
Mega Abomasnow ex,Ceruledge ex,3,2,66.7,20.8,93.9
Ceruledge ex,Mega Lucario ex,3,0,0.0,0.0,56.2
Mega Lucario ex,Ceruledge ex,3,3,100.0,43.8,100.0
Dragapult ex,Miraidon ex,3,3,100.0,43.8,100.0
Miraidon ex,Dragapult ex,3,0,0.0,0.0,56.2
Alakazam,Iron Thorns ex,3,3,100.0,43.8,100.0
Iron Thorns ex,Alakazam,3,0,0.0,0.0,56.2
Crustle,Mega Zygarde ex,3,3,100.0,43.8,100.0
Mega Zygarde ex,Crustle,3,0,0.0,0.0,56.2
Dragapult ex,Latias ex,3,2,66.7,20.8,93.9
Latias ex,Dragapult ex,3,1,33.3,6.1,79.2
Mega Lucario ex,Galvantula ex,3,3,100.0,43.8,100.0
Galvantula ex,Mega Lucario ex,3,0,0.0,0.0,56.2
Koraidon ex,Crustle,3,1,33.3,6.1,79.2
Crustle,Koraidon ex,3,2,66.7,20.8,93.9
Mega Gardevoir ex,Mega Abomasnow ex,3,1,33.3,6.1,79.2
Mega Abomasnow ex,Mega Gardevoir ex,3,2,66.7,20.8,93.9
Fezandipiti ex,Mega Lopunny ex,3,1,33.3,6.1,79.2
Mega Lopunny ex,Fezandipiti ex,3,2,66.7,20.8,93.9
Mega Kangaskhan ex,Fezandipiti ex,3,2,66.7,20.8,93.9
Fezandipiti ex,Mega Kangaskhan ex,3,1,33.3,6.1,79.2
Mega Froslass ex,Iono’s Bellibolt ex,3,2,66.7,20.8,93.9
Iono’s Bellibolt ex,Mega Froslass ex,3,1,33.3,6.1,79.2
Cornerstone Mask Ogerpon ex,Iono’s Bellibolt ex,3,2,66.7,20.8,93.9
Iono’s Bellibolt ex,Cornerstone Mask Ogerpon ex,3,1,33.3,6.1,79.2
Pikachu ex,Team Rocket's Mewtwo ex,3,1,33.3,6.1,79.2
Team Rocket's Mewtwo ex,Pikachu ex,3,2,66.7,20.8,93.9
Pikachu ex,Mega Kangaskhan ex,3,1,33.3,6.1,79.2
Mega Kangaskhan ex,Pikachu ex,3,2,66.7,20.8,93.9
Walrein,Seaking,3,3,100.0,43.8,100.0
Seaking,Walrein,3,0,0.0,0.0,56.2
Mega Venusaur ex,Mega Starmie ex,3,3,100.0,43.8,100.0
Mega Starmie ex,Mega Venusaur ex,3,0,0.0,0.0,56.2
Iono’s Bellibolt ex,Cubchoo,3,0,0.0,0.0,56.2
Cubchoo,Iono’s Bellibolt ex,3,3,100.0,43.8,100.0
Reshiram,Mega Lucario ex,3,2,66.7,20.8,93.9
Mega Lucario ex,Reshiram,3,1,33.3,6.1,79.2
Steven's Metagross ex,Alakazam,3,2,66.7,20.8,93.9
Alakazam,Steven's Metagross ex,3,1,33.3,6.1,79.2
Dragapult ex,Mega Gengar ex,3,1,33.3,6.1,79.2
Mega Gengar ex,Dragapult ex,3,2,66.7,20.8,93.9
Seaking,Mega Froslass ex,3,0,0.0,0.0,56.2
Mega Froslass ex,Seaking,3,3,100.0,43.8,100.0
Hop’s Snorlax,Steven's Metagross ex,3,0,0.0,0.0,56.2
Steven's Metagross ex,Hop’s Snorlax,3,3,100.0,43.8,100.0
N’s Zoroark ex,Seaking,3,1,33.3,6.1,79.2
Seaking,N’s Zoroark ex,3,2,66.7,20.8,93.9
Fezandipiti ex,Mega Abomasnow ex,3,3,100.0,43.8,100.0
Mega Abomasnow ex,Fezandipiti ex,3,0,0.0,0.0,56.2
Mega Lucario ex,Genesect ex,3,2,66.7,20.8,93.9
Genesect ex,Mega Lucario ex,3,1,33.3,6.1,79.2
Mega Starmie ex,Genesect ex,3,2,66.7,20.8,93.9
Genesect ex,Mega Starmie ex,3,1,33.3,6.1,79.2
Crustle,Kyurem,3,1,33.3,6.1,79.2
Kyurem,Crustle,3,2,66.7,20.8,93.9
Teal Mask Ogerpon ex,Iono’s Bellibolt ex,3,0,0.0,0.0,56.2
Iono’s Bellibolt ex,Teal Mask Ogerpon ex,3,3,100.0,43.8,100.0
Mega Kangaskhan ex,Ceruledge ex,3,2,66.7,20.8,93.9
Ceruledge ex,Mega Kangaskhan ex,3,1,33.3,6.1,79.2
Ceruledge ex,Alakazam,3,1,33.3,6.1,79.2
Alakazam,Ceruledge ex,3,2,66.7,20.8,93.9
Crustle,Lillie’s Clefairy ex,3,1,33.3,6.1,79.2
Lillie’s Clefairy ex,Crustle,3,2,66.7,20.8,93.9
Hop’s Snorlax,N’s Zoroark ex,3,1,33.3,6.1,79.2
N’s Zoroark ex,Hop’s Snorlax,3,2,66.7,20.8,93.9
Cynthia's Garchomp ex,Hop's Trevenant,3,2,66.7,20.8,93.9
Hop's Trevenant,Cynthia's Garchomp ex,3,1,33.3,6.1,79.2
Dragapult ex,Mega Diancie ex,3,0,0.0,0.0,56.2
Mega Diancie ex,Dragapult ex,3,3,100.0,43.8,100.0
Cubchoo,Yveltal,3,2,66.7,20.8,93.9
Yveltal,Cubchoo,3,1,33.3,6.1,79.2
Yveltal,Crustle,3,1,33.3,6.1,79.2
Crustle,Yveltal,3,2,66.7,20.8,93.9
Okidogi,Comfey,3,2,66.7,20.8,93.9
Comfey,Okidogi,3,1,33.3,6.1,79.2
Munkidori,Mega Starmie ex,3,2,66.7,20.8,93.9
Mega Starmie ex,Munkidori,3,1,33.3,6.1,79.2
Okidogi,Brambleghast,3,1,33.3,6.1,79.2
Brambleghast,Okidogi,3,2,66.7,20.8,93.9
Yveltal,Brambleghast,3,0,0.0,0.0,56.2
Brambleghast,Yveltal,3,3,100.0,43.8,100.0
Cornerstone Mask Ogerpon ex,N’s Zoroark ex,3,2,66.7,20.8,93.9
N’s Zoroark ex,Cornerstone Mask Ogerpon ex,3,1,33.3,6.1,79.2
Mega Gardevoir ex,Cornerstone Mask Ogerpon ex,3,2,66.7,20.8,93.9
Cornerstone Mask Ogerpon ex,Mega Gardevoir ex,3,1,33.3,6.1,79.2
Mega Gardevoir ex,Mega Lopunny ex,3,1,33.3,6.1,79.2
Mega Lopunny ex,Mega Gardevoir ex,3,2,66.7,20.8,93.9
Cornerstone Mask Ogerpon ex,Hydrapple ex,3,2,66.7,20.8,93.9
Hydrapple ex,Cornerstone Mask Ogerpon ex,3,1,33.3,6.1,79.2
Mega Venusaur ex,Archaludon ex,3,2,66.7,20.8,93.9
Archaludon ex,Mega Venusaur ex,3,1,33.3,6.1,79.2
Mega Lopunny ex,Empoleon ex,3,2,66.7,20.8,93.9
Empoleon ex,Mega Lopunny ex,3,1,33.3,6.1,79.2
Marnie's Grimmsnarl ex,Latias ex,3,1,33.3,6.1,79.2
Latias ex,Marnie's Grimmsnarl ex,3,2,66.7,20.8,93.9
Thwackey,Brambleghast,3,3,100.0,43.8,100.0
Brambleghast,Thwackey,3,0,0.0,0.0,56.2
Xerneas,Marnie's Grimmsnarl ex,3,2,66.7,20.8,93.9
Marnie's Grimmsnarl ex,Xerneas,3,1,33.3,6.1,79.2
Mega Kangaskhan ex,Mega Camerupt ex,2,1,50.0,9.5,90.5
Mega Camerupt ex,Mega Kangaskhan ex,2,1,50.0,9.5,90.5
Mega Lucario ex,Mega Meganium ex,2,2,100.0,34.2,100.0
Mega Meganium ex,Mega Lucario ex,2,0,0.0,0.0,65.8
Cynthia's Garchomp ex,Iron Thorns ex,2,1,50.0,9.5,90.5
Iron Thorns ex,Cynthia's Garchomp ex,2,1,50.0,9.5,90.5
Mega Lucario ex,Sinistcha ex,2,2,100.0,34.2,100.0
Sinistcha ex,Mega Lucario ex,2,0,0.0,0.0,65.8
Mega Abomasnow ex,Mega Meganium ex,2,1,50.0,9.5,90.5
Mega Meganium ex,Mega Abomasnow ex,2,1,50.0,9.5,90.5
Gouging Fire ex,Mega Abomasnow ex,2,0,0.0,0.0,65.8
Mega Abomasnow ex,Gouging Fire ex,2,2,100.0,34.2,100.0
Mega Lucario ex,Decidueye,2,2,100.0,34.2,100.0
Decidueye,Mega Lucario ex,2,0,0.0,0.0,65.8
Dusknoir,Mega Lucario ex,2,2,100.0,34.2,100.0
Mega Lucario ex,Dusknoir,2,0,0.0,0.0,65.8
